subj_id,subj_name,subj_gender ,subj_age,subj_handedness,subj_runNum,tar_l_x,tar_l_y,loc_code,tar_ori,tar_code,tar_pre ,cor_response,pre_code,subj_response,RT,correct,trial_num,type,bloc_num,dur, real_tar
12,lyt,f,21,r,1,(121.76378772032349, 121.76378772032349),22,-25,14,yes,x,5,x,1.0593509999998787,1,1,prac,0,1.0595941000001403,-70.0
12,lyt,f,21,r,1,(-121.76378772032348, 121.76378772032349),24,-3,11,yes,x,5,m,0.8874970999995639,0,2,prac,0,0.8877153000003091,-48.0
12,lyt,f,21,r,1,(-3.163262682197613e-14, -172.20000000000002),27,7,3,yes,x,5,x,0.6788940000005823,1,3,prac,0,0.6790786999999909,-38.0
12,lyt,f,21,r,1,(121.76378772032349, 121.76378772032349),22,3,1,yes,x,5,m,0.9540440000000672,0,4,prac,0,0.9548165999995035,-42.0
12,lyt,f,21,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-5,12,no,m,6,x,0.9406840000001466,0,5,prac,0,0.9408587999996598,-42.0
12,lyt,f,21,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-25,14,yes,x,5,x,0.5254033999999592,1,6,prac,0,0.5256770000005417,-70.0
12,lyt,f,21,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,5,2,yes,x,5,x,0.6905271999994511,1,7,prac,0,0.6906287000001612,-40.0
12,lyt,f,21,r,1,(-121.76378772032348, 121.76378772032349),24,3,1,yes,x,5,m,0.8197962999993251,0,8,prac,0,0.8199186000001646,-42.0
12,lyt,f,21,r,1,(121.76378772032349, 121.76378772032349),22,-5,12,yes,x,5,x,0.660928100000092,1,9,prac,0,0.661027500000273,-50.0
12,lyt,f,21,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-25,14,yes,x,5,x,0.5433542000000671,1,10,prac,0,0.5436370000006718,-70.0
12,lyt,f,21,r,1,(172.20000000000002, 0.0),21,5,2,yes,x,5,x,1.168717600000491,1,11,prac,0,1.1689430999995238,-40.0
12,lyt,f,21,r,1,(172.20000000000002, 0.0),21,-5,12,no,m,6,x,0.8358492999996088,0,12,prac,0,0.8360896000003777,-40.0
12,lyt,f,21,r,1,(172.20000000000002, 0.0),21,-7,13,yes,x,5,x,0.6666131000001769,1,13,prac,0,0.6668318000001818,-52.0
12,lyt,f,21,r,1,(-121.76378772032348, 121.76378772032349),24,-5,12,yes,x,5,m,0.8643534000002546,0,14,prac,0,0.8647239000001719,-50.0
12,lyt,f,21,r,1,(121.76378772032346, -121.76378772032352),28,3,1,yes,x,5,x,1.1172797000008359,1,15,prac,0,1.117566099999749,-42.0
12,lyt,f,21,r,1,(121.76378772032349, 121.76378772032349),22,-25,14,no,m,6,m,1.1279037000003882,1,16,prac,0,1.1280733000003238,-42.0
12,lyt,f,21,r,1,(-121.76378772032352, -121.76378772032348),26,7,3,yes,x,5,x,1.0483456000001752,1,17,prac,0,1.0484550000001036,-38.0
12,lyt,f,21,r,1,(172.20000000000002, 0.0),21,-7,13,no,m,6,m,1.1295036999999866,1,18,prac,0,1.1296033999997235,-38.0
12,lyt,f,21,r,1,(172.20000000000002, 0.0),21,-3,11,yes,x,5,m,1.6081464000008054,0,19,prac,0,1.6082463000002463,-48.0
12,lyt,f,21,r,1,(-121.76378772032352, -121.76378772032348),26,-5,12,yes,x,5,x,0.7434288999993441,1,20,prac,0,0.743669200000113,-50.0
12,lyt,f,21,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-7,13,yes,x,5,x,0.6338025000004563,1,1,test1,1,0.6338965000004464,-52.0
12,lyt,f,21,r,1,(121.76378772032349, 121.76378772032349),22,-7,13,yes,x,5,x,0.5268492000004699,1,2,test1,1,0.527001499999642,-52.0
12,lyt,f,21,r,1,(172.20000000000002, 0.0),21,-25,14,no,m,6,x,0.5621002999996563,0,3,test1,1,0.5623868000002403,-52.0
12,lyt,f,21,r,1,(1.0544208940658713e-14, 172.20000000000002),23,25,4,yes,x,5,x,0.46887580000020534,1,4,test1,1,0.4691683999999441,-20.0
12,lyt,f,21,r,1,(1.0544208940658713e-14, 172.20000000000002),23,5,2,no,m,6,x,1.0827242999994269,0,5,test1,1,1.0829637999995612,-20.0
12,lyt,f,21,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-7,13,yes,x,5,x,0.6003234999998313,1,6,test1,1,0.6005334999999832,-52.0
12,lyt,f,21,r,1,(121.76378772032346, -121.76378772032352),28,5,2,yes,x,5,m,0.9318099000001894,0,7,test1,1,0.9319435000006706,-40.0
12,lyt,f,21,r,1,(121.76378772032346, -121.76378772032352),28,-7,13,yes,x,5,m,0.9427765000000363,0,8,test1,1,0.9430479000002379,-52.0
12,lyt,f,21,r,1,(121.76378772032349, 121.76378772032349),22,5,2,no,m,6,x,1.045150800000556,0,9,test1,1,1.0454560000007405,-52.0
