subj_id,subj_name,subj_gender ,subj_age,subj_handedness,subj_runNum,tar_l_x,tar_l_y,loc_code,tar_ori,tar_code,tar_pre ,cor_response,pre_code,subj_response,RT,correct,trial_num,type,bloc_num,dur, real_tar
14,chj,m,20,r,2,(-121.76378772032352, -121.76378772032348),26,3,1,yes,x,5,None,None,0,1,test1,1,1.9800880999973742,-42.0
14,chj,m,20,r,2,(-3.163262682197613e-14, -172.20000000000002),27,-7,13,yes,x,5,x,0.8658381999994162,1,2,test1,1,0.8659990000014659,-52.0
14,chj,m,20,r,2,(121.76378772032346, -121.76378772032352),28,7,3,no,m,6,m,0.593687200002023,1,3,test1,1,0.5938003000046592,-52.0
14,chj,m,20,r,2,(-121.76378772032348, 121.76378772032349),24,-5,12,no,m,6,m,0.5943819999956759,1,4,test1,1,0.594808900001226,-52.0
14,chj,m,20,r,2,(121.76378772032349, 121.76378772032349),22,-7,13,no,m,6,m,0.4621725000033621,1,5,test1,1,0.46237210000981577,-52.0
14,chj,m,20,r,2,(-121.76378772032348, 121.76378772032349),24,7,3,yes,x,5,x,0.509707500008517,1,6,test1,1,0.5098314999922877,-38.0
14,chj,m,20,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,-3,11,yes,x,5,m,0.5980708999995841,0,7,test1,1,0.598170500001288,-48.0
14,chj,m,20,r,2,(1.0544208940658713e-14, 172.20000000000002),23,25,4,yes,x,5,x,0.3737690999987535,1,8,test1,1,0.374130399999558,-20.0
14,chj,m,20,r,2,(1.0544208940658713e-14, 172.20000000000002),23,-5,12,yes,x,5,x,0.5503646999859484,1,9,test1,1,0.5505847000022186,-50.0
14,chj,m,20,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,-3,11,yes,x,5,x,0.464105599996401,1,10,test1,1,0.4643439000064973,-48.0
14,chj,m,20,r,2,(-121.76378772032348, 121.76378772032349),24,3,1,yes,x,5,x,0.4228389000054449,1,11,test1,1,0.42323540001234505,-42.0
14,chj,m,20,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,7,3,no,m,6,m,0.5626310000079684,1,12,test1,1,0.5627290999982506,-42.0
14,chj,m,20,r,2,(1.0544208940658713e-14, 172.20000000000002),23,25,4,yes,x,5,x,0.37462699999741744,1,13,test1,1,0.3747524000064004,-20.0
14,chj,m,20,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,5,2,yes,x,5,x,0.38648069999180734,1,14,test1,1,0.38679669999692123,-40.0
14,chj,m,20,r,2,(-121.76378772032348, 121.76378772032349),24,5,2,yes,x,5,x,0.39307790000748355,1,15,test1,1,0.39329710000311024,-40.0
14,chj,m,20,r,2,(172.20000000000002, 0.0),21,-3,11,yes,x,5,m,0.620771900008549,0,16,test1,1,0.6208960999938427,-48.0
14,chj,m,20,r,2,(1.0544208940658713e-14, 172.20000000000002),23,5,2,yes,x,5,x,0.4751657999877352,1,17,test1,1,0.4753958000073908,-40.0
14,chj,m,20,r,2,(121.76378772032349, 121.76378772032349),22,-5,12,yes,x,5,x,0.41446050000377,1,18,test1,1,0.41502650000620633,-50.0
14,chj,m,20,r,2,(-121.76378772032352, -121.76378772032348),26,7,3,yes,x,5,x,0.44113300000026356,1,19,test1,1,0.44132680000620894,-38.0
14,chj,m,20,r,2,(-3.163262682197613e-14, -172.20000000000002),27,5,2,no,m,6,m,0.5331423000025097,1,20,test1,1,0.533269300009124,-38.0
14,chj,m,20,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,-5,12,yes,x,5,x,0.45947370000067167,1,21,test1,1,0.4598009000037564,-50.0
14,chj,m,20,r,2,(121.76378772032349, 121.76378772032349),22,25,4,yes,x,5,x,0.44372689998999704,1,22,test1,1,0.4439583999919705,-20.0
14,chj,m,20,r,2,(-121.76378772032348, 121.76378772032349),24,-3,11,yes,x,5,x,1.1241636000049766,1,23,test1,1,1.1243515999958618,-48.0
14,chj,m,20,r,2,(121.76378772032346, -121.76378772032352),28,-3,11,yes,x,5,x,0.749309999999241,1,24,test1,1,0.7494413999957033,-48.0
14,chj,m,20,r,2,(121.76378772032346, -121.76378772032352),28,5,2,no,m,6,m,0.722298699998646,1,25,test1,1,0.7226618999993661,-48.0
14,chj,m,20,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,-7,13,yes,x,5,x,0.4445912000082899,1,26,test1,1,0.4448413000063738,-52.0
14,chj,m,20,r,2,(-121.76378772032352, -121.76378772032348),26,-5,12,yes,x,5,x,0.5979609000060009,1,27,test1,1,0.5980610999977216,-50.0
14,chj,m,20,r,2,(121.76378772032349, 121.76378772032349),22,5,2,no,m,6,m,1.001489699992817,1,28,test1,1,1.0017353000002913,-50.0
14,chj,m,20,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,25,4,no,m,6,m,0.6300644000002649,1,29,test1,1,0.630281499994453,-50.0
14,chj,m,20,r,2,(172.20000000000002, 0.0),21,-25,14,yes,x,5,x,0.4048296999972081,1,30,test1,1,0.40505190000112634,-70.0
14,chj,m,20,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,3,1,yes,x,5,x,0.5016140000079758,1,31,test1,1,0.5017181000002893,-42.0
14,chj,m,20,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,-7,13,yes,x,5,x,0.4604964999889489,1,32,test1,1,0.4606212999933632,-52.0
14,chj,m,20,r,2,(121.76378772032346, -121.76378772032352),28,-7,13,yes,x,5,x,0.5841759000031743,1,33,test1,1,0.5843072999996366,-52.0
14,chj,m,20,r,2,(-121.76378772032352, -121.76378772032348),26,-7,13,yes,x,5,x,0.4476804000005359,1,34,test1,1,0.44818980000854935,-52.0
14,chj,m,20,r,2,(121.76378772032346, -121.76378772032352),28,-25,14,yes,x,5,x,0.42564869999478105,1,35,test1,1,0.4258067999908235,-70.0
14,chj,m,20,r,2,(-121.76378772032348, 121.76378772032349),24,3,1,yes,x,5,x,0.7422019000077853,1,36,test1,1,0.7423622000060277,-42.0
14,chj,m,20,r,2,(-121.76378772032352, -121.76378772032348),26,-25,14,yes,x,5,x,0.3703298000036739,1,37,test1,1,0.3706862999970326,-70.0
14,chj,m,20,r,2,(-3.163262682197613e-14, -172.20000000000002),27,-3,11,yes,x,5,x,0.5875893000047654,1,38,test1,1,0.5879163000063272,-48.0
14,chj,m,20,r,2,(121.76378772032349, 121.76378772032349),22,3,1,yes,x,5,x,0.7736819999990985,1,39,test1,1,0.7740765000053216,-42.0
14,chj,m,20,r,2,(-121.76378772032352, -121.76378772032348),26,-3,11,yes,x,5,x,0.5808728000120027,1,40,test1,1,0.5810089000005974,-48.0
14,chj,m,20,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,-7,13,no,m,6,m,0.7340492999937851,1,41,test1,1,0.7341870000091149,-48.0
14,chj,m,20,r,2,(-121.76378772032352, -121.76378772032348),26,-5,12,no,m,6,m,0.8213737000041874,1,42,test1,1,0.8216156999988016,-48.0
14,chj,m,20,r,2,(-121.76378772032352, -121.76378772032348),26,3,1,no,m,6,m,0.5235278000036487,1,43,test1,1,0.5236220999940997,-48.0
14,chj,m,20,r,2,(-3.163262682197613e-14, -172.20000000000002),27,-7,13,no,m,6,m,0.5934209999977611,1,44,test1,1,0.5935459999891464,-48.0
14,chj,m,20,r,2,(-121.76378772032348, 121.76378772032349),24,5,2,yes,x,5,x,0.6605176000011852,1,45,test1,1,0.6606494999869028,-40.0
14,chj,m,20,r,2,(172.20000000000002, 0.0),21,-3,11,yes,x,5,x,0.6295986000041012,1,46,test1,1,0.629835900006583,-48.0
14,chj,m,20,r,2,(-3.163262682197613e-14, -172.20000000000002),27,-3,11,no,m,6,m,0.5451395999989472,1,47,test1,1,0.5458114000066416,-48.0
14,chj,m,20,r,2,(-121.76378772032348, 121.76378772032349),24,-25,14,yes,x,5,x,0.38995230000000447,1,48,test1,1,0.39031360000080895,-70.0
14,chj,m,20,r,2,(-3.163262682197613e-14, -172.20000000000002),27,-5,12,yes,x,5,x,0.5869540000130655,1,49,test1,1,0.5873136000009254,-50.0
14,chj,m,20,r,2,(-121.76378772032352, -121.76378772032348),26,-25,14,yes,x,5,x,0.3876737999962643,1,50,test1,1,0.3882187999988673,-70.0
14,chj,m,20,r,2,(-121.76378772032348, 121.76378772032349),24,-7,13,yes,x,5,x,0.3722468000050867,1,51,test1,1,0.3723628000007011,-52.0
14,chj,m,20,r,2,(172.20000000000002, 0.0),21,-25,14,no,m,6,m,0.49100470000121277,1,52,test1,1,0.49153820000356063,-52.0
14,chj,m,20,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,3,1,no,m,6,m,0.4856032999960007,1,53,test1,1,0.4857246000028681,-52.0
14,chj,m,20,r,2,(172.20000000000002, 0.0),21,5,2,no,m,6,m,0.6192802000005031,1,54,test1,1,0.6193953000038164,-52.0
14,chj,m,20,r,2,(-121.76378772032352, -121.76378772032348),26,-7,13,yes,x,5,x,0.4209660000051372,1,55,test1,1,0.42106440001225565,-52.0
14,chj,m,20,r,2,(121.76378772032346, -121.76378772032352),28,-5,12,yes,x,5,x,0.7261548999958904,1,56,test1,1,0.7265577000071062,-50.0
14,chj,m,20,r,2,(172.20000000000002, 0.0),21,5,2,yes,x,5,x,0.5029682000022149,1,57,test1,1,0.5030669000116177,-40.0
14,chj,m,20,r,2,(-121.76378772032348, 121.76378772032349),24,-5,12,yes,x,5,x,0.38183359999675304,1,58,test1,1,0.38246459999936633,-50.0
14,chj,m,20,r,2,(-121.76378772032348, 121.76378772032349),24,25,4,yes,x,5,x,0.33869350000168197,1,59,test1,1,0.3391261999931885,-20.0
14,chj,m,20,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,-25,14,yes,x,5,x,0.31933119999303017,1,60,test1,1,0.31946879999304656,-70.0
14,chj,m,20,r,2,(121.76378772032346, -121.76378772032352),28,-5,12,yes,x,5,x,0.6305165999947349,1,61,test1,1,0.6307512000057613,-50.0
14,chj,m,20,r,2,(-121.76378772032348, 121.76378772032349),24,-25,14,no,m,6,m,0.47714930000074673,1,62,test1,1,0.4772701000038069,-50.0
14,chj,m,20,r,2,(1.0544208940658713e-14, 172.20000000000002),23,-3,11,yes,x,5,x,0.7246503000060329,1,63,test1,1,0.7249100000044564,-48.0
14,chj,m,20,r,2,(-3.163262682197613e-14, -172.20000000000002),27,7,3,yes,x,5,x,0.4174417000031099,1,64,test1,1,0.41754629999923054,-38.0
14,chj,m,20,r,2,(-3.163262682197613e-14, -172.20000000000002),27,25,4,yes,x,5,x,0.32554930000333115,1,65,test1,1,0.3257791000069119,-20.0
14,chj,m,20,r,2,(1.0544208940658713e-14, 172.20000000000002),23,-7,13,yes,x,5,x,0.42167899999185465,1,66,test1,1,0.4218040999985533,-52.0
14,chj,m,20,r,2,(172.20000000000002, 0.0),21,-7,13,yes,x,5,x,0.38882779999403283,1,67,test1,1,0.38904599999659695,-52.0
14,chj,m,20,r,2,(121.76378772032346, -121.76378772032352),28,3,1,no,m,6,m,0.5763455999986036,1,68,test1,1,0.5764459000056377,-52.0
14,chj,m,20,r,2,(1.0544208940658713e-14, 172.20000000000002),23,7,3,no,m,6,m,0.554538299998967,1,69,test1,1,0.5547737000015331,-52.0
14,chj,m,20,r,2,(172.20000000000002, 0.0),21,-5,12,yes,x,5,x,0.5571799000026658,1,70,test1,1,0.5574190000043018,-50.0
14,chj,m,20,r,2,(172.20000000000002, 0.0),21,-5,12,no,m,6,m,0.6388365000020713,1,71,test1,1,0.6392861999920569,-50.0
14,chj,m,20,r,2,(121.76378772032349, 121.76378772032349),22,5,2,yes,x,5,x,0.598784899993916,1,72,test1,1,0.5990320999990217,-40.0
14,chj,m,20,r,2,(-121.76378772032348, 121.76378772032349),24,-7,13,yes,x,5,x,0.3917924999987008,1,73,test1,1,0.39189349999651313,-52.0
14,chj,m,20,r,2,(121.76378772032346, -121.76378772032352),28,3,1,yes,x,5,x,0.7269095999945421,1,74,test1,1,0.7270066000055522,-42.0
14,chj,m,20,r,2,(121.76378772032349, 121.76378772032349),22,25,4,no,m,6,m,0.4957518000010168,1,75,test1,1,0.4958891999995103,-42.0
14,chj,m,20,r,2,(121.76378772032349, 121.76378772032349),22,-3,11,yes,x,5,x,0.612054099998204,1,76,test1,1,0.6122692999924766,-48.0
14,chj,m,20,r,2,(121.76378772032346, -121.76378772032352),28,25,4,no,m,6,m,0.5823044999997364,1,77,test1,1,0.5824321999971289,-48.0
14,chj,m,20,r,2,(121.76378772032346, -121.76378772032352),28,25,4,yes,x,5,x,0.4670598999946378,1,78,test1,1,0.467188199996599,-20.0
