subj_id,subj_name,subj_gender ,subj_age,subj_handedness,subj_runNum,tar_l_x,tar_l_y,loc_code,tar_ori,tar_code,tar_pre ,cor_response,pre_code,subj_response,RT,correct,trial_num,type,bloc_num,dur, real_tar
15,wht,f,19,r,1,(121.76378772032349, 121.76378772032349),22,7,3,yes,x,5,m,1.6068097,0,1,prac,0,1.6069232,-38
15,wht,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,-5,12,yes,x,5,x,0.8055526,1,2,prac,0,0.8056734,-50
15,wht,f,19,r,1,(121.76378772032346, -121.76378772032352),28,25,4,no,m,6,m,0.8789949,1,3,prac,0,0.8794983,-50
15,wht,f,19,r,1,(121.76378772032349, 121.76378772032349),22,-3,11,yes,x,5,m,0.7974315,0,4,prac,0,0.7978522,-48
15,wht,f,19,r,1,(121.76378772032346, -121.76378772032352),28,3,1,yes,x,5,x,1.4693329,1,5,prac,0,1.4694366,-42
15,wht,f,19,r,1,(121.76378772032346, -121.76378772032352),28,5,2,yes,x,5,x,0.6706866,1,6,prac,0,0.6709712,-40
15,wht,f,19,r,1,(172.20000000000002, 0.0),21,7,3,yes,x,5,x,0.7032162,1,7,prac,0,0.7034635,-38
15,wht,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,5,2,yes,x,5,x,0.9044363,1,8,prac,0,0.9046115,-40
15,wht,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,5,2,yes,x,5,x,1.2110169,1,9,prac,0,1.2112114,-40
15,wht,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-7,13,yes,x,5,x,0.841835,1,10,prac,0,0.8419617,-52
15,wht,f,19,r,1,(172.20000000000002, 0.0),21,7,3,no,m,6,m,1.3306356,1,11,prac,0,1.3310822,-52
15,wht,f,19,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-5,12,yes,x,5,x,0.6588937,1,12,prac,0,0.659004,-50
15,wht,f,19,r,1,(-121.76378772032348, 121.76378772032349),24,-25,14,no,m,6,m,1.2528017,1,13,prac,0,1.2529033,-50
15,wht,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,5,2,yes,x,5,x,0.8648746,1,14,prac,0,0.8649715,-40
15,wht,f,19,r,1,(172.20000000000002, 0.0),21,25,4,yes,x,5,x,0.5455298,1,15,prac,0,0.5457508,-20
15,wht,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,-3,11,yes,x,5,x,0.8526845,1,16,prac,0,0.8528816,-48
15,wht,f,19,r,1,(172.20000000000002, 0.0),21,-5,12,no,m,6,m,0.9526219,1,17,prac,0,0.9528573,-48
15,wht,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,-25,14,yes,x,5,x,0.5657761,1,18,prac,0,0.5661057,-70
15,wht,f,19,r,1,(172.20000000000002, 0.0),21,-3,11,yes,x,5,m,0.6706366,0,19,prac,0,0.6707369,-48
15,wht,f,19,r,1,(172.20000000000002, 0.0),21,-7,13,yes,x,5,x,0.8259965,1,20,prac,0,0.8261115,-52
15,wht,f,19,r,1,(121.76378772032346, -121.76378772032352),28,-5,12,yes,x,5,x,0.6679847,1,1,test1,1,0.6682869,-50
15,wht,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,3,1,yes,x,5,x,1.7816732,1,2,test1,1,1.7817504,-42
15,wht,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-5,12,yes,x,5,x,0.6185063,1,3,test1,1,0.6186769,-50
15,wht,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,-5,12,yes,x,5,x,0.7361552,1,4,test1,1,0.7363896,-50
15,wht,f,19,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-5,12,yes,x,5,x,0.9270165,1,5,test1,1,0.9271198,-50
15,wht,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,-25,14,yes,x,5,x,0.5127744,1,6,test1,1,0.5130808,-70
15,wht,f,19,r,1,(172.20000000000002, 0.0),21,-7,13,yes,x,5,x,0.6768944,1,7,test1,1,0.6769927,-52
15,wht,f,19,r,1,(121.76378772032346, -121.76378772032352),28,25,4,yes,x,5,x,0.4561941,1,8,test1,1,0.4564725,-20
15,wht,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-25,14,yes,x,5,x,0.436307,1,9,test1,1,0.4367543,-70
15,wht,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,-5,12,yes,x,5,x,0.6747051,1,10,test1,1,0.6748149,-50
15,wht,f,19,r,1,(-121.76378772032348, 121.76378772032349),24,5,2,no,m,6,m,0.923133,1,11,test1,1,0.9234163,-50
15,wht,f,19,r,1,(172.20000000000002, 0.0),21,-7,13,yes,x,5,x,0.5801096,1,12,test1,1,0.580207,-52
15,wht,f,19,r,1,(121.76378772032349, 121.76378772032349),22,-7,13,no,m,6,m,0.7884553,1,13,test1,1,0.7887472,-52
15,wht,f,19,r,1,(172.20000000000002, 0.0),21,3,1,no,m,6,m,0.6743081,1,14,test1,1,0.674531,-52
15,wht,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-3,11,yes,x,5,x,1.0086388,1,15,test1,1,1.0087259,-48
15,wht,f,19,r,1,(121.76378772032346, -121.76378772032352),28,5,2,yes,x,5,x,1.0319718,1,16,test1,1,1.0320952,-40
15,wht,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,7,3,yes,x,5,x,0.685364,1,17,test1,1,0.6855488,-38
15,wht,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,7,3,yes,x,5,x,0.6809013,1,18,test1,1,0.6811682,-38
15,wht,f,19,r,1,(1.0544208940658713e-14, 172.20000000000002),23,7,3,yes,x,5,x,0.5637947,1,19,test1,1,0.5638872,-38
15,wht,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,-25,14,no,m,6,None,None,0,20,test1,1,1.9800918,-38
15,wht,f,19,r,1,(121.76378772032346, -121.76378772032352),28,5,2,no,m,6,m,0.8619313,1,21,test1,1,0.8620783,-38
15,wht,f,19,r,1,(-121.76378772032348, 121.76378772032349),24,5,2,yes,x,5,m,0.6544721,0,22,test1,1,0.6545893,-40
15,wht,f,19,r,1,(121.76378772032349, 121.76378772032349),22,-5,12,no,m,6,m,0.7829035,1,23,test1,1,0.7833308,-40
