subj_id,subj_name,subj_gender ,subj_age,subj_handedness,subj_runNum,tar_l_x,tar_l_y,loc_code,tar_ori,tar_code,tar_pre ,cor_response,pre_code,subj_response,RT,correct,trial_num,type,bloc_num,dur, real_tar
16,sj,f,20,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-25,14,yes,x,5,x,0.7875390999979572,1,1,prac,0,0.7876644999996643,-70.0
16,sj,f,20,r,1,(121.76378772032349, 121.76378772032349),22,-7,13,no,m,6,m,0.7266204999978072,1,2,prac,0,0.7268354999978328,-70.0
16,sj,f,20,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,3,1,no,m,6,m,0.44519020000007004,1,3,prac,0,0.445362300000852,-70.0
16,sj,f,20,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-5,12,yes,x,5,m,0.521837799999048,0,4,prac,0,0.5221562000006088,-50.0
16,sj,f,20,r,1,(-121.76378772032352, -121.76378772032348),26,-3,11,yes,x,5,m,0.8553726999962237,0,5,prac,0,0.8554733999990276,-48.0
16,sj,f,20,r,1,(172.20000000000002, 0.0),21,-5,12,yes,x,5,x,0.9379104999970878,1,6,prac,0,0.938288500001363,-50.0
16,sj,f,20,r,1,(-121.76378772032348, 121.76378772032349),24,-25,14,yes,x,5,x,0.6796100999999908,1,7,prac,0,0.6798416000019643,-70.0
16,sj,f,20,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-7,13,no,m,6,m,1.5853705999979866,1,8,prac,0,1.5857278000039514,-70.0
16,sj,f,20,r,1,(172.20000000000002, 0.0),21,25,4,no,m,6,m,1.8895482999942033,1,9,prac,0,1.8898409999965224,-70.0
16,sj,f,20,r,1,(121.76378772032346, -121.76378772032352),28,7,3,yes,x,5,x,0.769354399999429,1,10,prac,0,0.7694683000008808,-38.0
16,sj,f,20,r,1,(-121.76378772032352, -121.76378772032348),26,5,2,yes,x,5,m,1.1345222999952966,0,11,prac,0,1.1347468999956618,-40.0
16,sj,f,20,r,1,(121.76378772032349, 121.76378772032349),22,25,4,no,m,6,m,1.7853133000025991,1,12,prac,0,1.7857010000006994,-40.0
16,sj,f,20,r,1,(121.76378772032349, 121.76378772032349),22,3,1,yes,x,5,x,1.8040177000002586,1,13,prac,0,1.8045223999943119,-42.0
16,sj,f,20,r,1,(121.76378772032346, -121.76378772032352),28,25,4,no,m,6,m,1.920522799999162,1,14,prac,0,1.9208059999946272,-42.0
16,sj,f,20,r,1,(-121.76378772032348, 121.76378772032349),24,3,1,yes,x,5,x,0.8200051000021631,1,15,prac,0,0.8203232000014395,-42.0
16,sj,f,20,r,1,(-3.163262682197613e-14, -172.20000000000002),27,7,3,no,m,6,m,1.1439601000020048,1,16,prac,0,1.1441886999964481,-42.0
16,sj,f,20,r,1,(1.0544208940658713e-14, 172.20000000000002),23,3,1,yes,x,5,x,1.1434785000019474,1,17,prac,0,1.1442536000031396,-42.0
16,sj,f,20,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-7,13,yes,x,5,x,0.8147333000015351,1,18,prac,0,0.8150404999978491,-52.0
16,sj,f,20,r,1,(-3.163262682197613e-14, -172.20000000000002),27,5,2,no,m,6,m,0.9089318999976967,1,19,prac,0,0.9092235999996774,-52.0
16,sj,f,20,r,1,(1.0544208940658713e-14, 172.20000000000002),23,3,1,no,m,6,m,1.134588300003088,1,20,prac,0,1.1348180999993929,-52.0
16,sj,f,20,r,1,(-121.76378772032348, 121.76378772032349),24,-25,14,yes,x,5,x,0.6181361000053585,1,1,test1,1,0.6183028999948874,-70.0
16,sj,f,20,r,1,(121.76378772032346, -121.76378772032352),28,-3,11,yes,x,5,x,1.0230790999994497,1,2,test1,1,1.0235711999994237,-48.0
16,sj,f,20,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-3,11,no,m,6,x,1.2936059999992722,0,3,test1,1,1.2937340999997105,-48.0
16,sj,f,20,r,1,(172.20000000000002, 0.0),21,5,2,yes,x,5,x,0.6609927000026801,1,4,test1,1,0.6614140000019688,-40.0
16,sj,f,20,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,5,2,yes,x,5,x,0.8304414000012912,1,5,test1,1,0.8305373000039253,-40.0
16,sj,f,20,r,1,(121.76378772032349, 121.76378772032349),22,5,2,yes,x,5,x,1.131135900002846,1,6,test1,1,1.1314855000018724,-40.0
