subj_id,subj_name,subj_gender ,subj_age,subj_handedness,subj_runNum,tar_l_x,tar_l_y,loc_code,tar_ori,tar_code,tar_pre ,cor_response,pre_code,subj_response,RT,correct,trial_num,type,bloc_num,dur, real_tar
18,cyh,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,3,1,yes,x,5,None,None,0,1,prac,0,1.9800953000085428,-42.0
18,cyh,f,19,r,1,(172.20000000000002, 0.0),21,25,4,yes,x,5,None,None,0,2,prac,0,1.9802243000012822,-20.0
18,cyh,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,25,4,yes,x,5,x,0.9494309000147041,1,3,prac,0,0.9497383999987505,-20.0
18,cyh,f,19,r,1,(121.76378772032346, -121.76378772032352),28,-5,12,yes,x,5,m,0.602739299996756,0,4,prac,0,0.6028806999966037,-50.0
18,cyh,f,19,r,1,(-121.76378772032348, 121.76378772032349),24,-25,14,yes,x,5,x,0.5374240000091959,1,5,prac,0,0.5375385000079405,-70.0
18,cyh,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,-25,14,no,m,6,m,1.2532485999981873,1,6,prac,0,1.253907700011041,-70.0
18,cyh,f,19,r,1,(172.20000000000002, 0.0),21,-3,11,no,m,6,m,1.0547820999927353,1,7,prac,0,1.054883400007384,-70.0
18,cyh,f,19,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-25,14,yes,x,5,x,0.5268389999982901,1,8,prac,0,0.5271521999966353,-70.0
18,cyh,f,19,r,1,(-121.76378772032348, 121.76378772032349),24,5,2,no,m,6,x,0.5850400000053924,0,9,prac,0,0.58528979998664,-70.0
18,cyh,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-7,13,yes,x,5,x,0.6559419000113849,1,10,prac,0,0.6561632999801077,-52.0
18,cyh,f,19,r,1,(172.20000000000002, 0.0),21,-5,12,yes,x,5,m,0.7146211999934167,0,11,prac,0,0.7148313999932725,-50.0
18,cyh,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,7,3,yes,x,5,x,0.6905473999795504,1,12,prac,0,0.6906523999932688,-38.0
18,cyh,f,19,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-25,14,no,m,6,m,0.7697403999918606,1,13,prac,0,0.770263700018404,-38.0
18,cyh,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,25,4,yes,x,5,x,0.5639190999791026,1,14,prac,0,0.564237000013236,-20.0
18,cyh,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,-3,11,yes,x,5,m,0.7456614999973681,0,15,prac,0,0.7458186000003479,-48.0
18,cyh,f,19,r,1,(-121.76378772032348, 121.76378772032349),24,25,4,yes,x,5,x,0.5571288999926765,1,16,prac,0,0.5572431000182405,-20.0
18,cyh,f,19,r,1,(172.20000000000002, 0.0),21,-7,13,yes,x,5,m,0.8209468999993987,0,17,prac,0,0.8212288000213448,-52.0
18,cyh,f,19,r,1,(121.76378772032349, 121.76378772032349),22,-5,12,no,m,6,m,0.8731767999997828,1,18,prac,0,0.8732776000106242,-52.0
18,cyh,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,7,3,no,m,6,m,1.203958900005091,1,19,prac,0,1.2040798000234645,-52.0
18,cyh,f,19,r,1,(121.76378772032349, 121.76378772032349),22,3,1,yes,x,5,m,1.4623238999920432,0,20,prac,0,1.4626062999886926,-42.0
18,cyh,f,19,r,1,(121.76378772032346, -121.76378772032352),28,-5,12,no,m,6,m,1.0656006999779493,1,1,test1,1,1.0660377999884076,-42.0
18,cyh,f,19,r,1,(121.76378772032346, -121.76378772032352),28,-7,13,yes,x,5,m,0.7999318999936804,0,2,test1,1,0.8001425999973435,-52.0
18,cyh,f,19,r,1,(121.76378772032346, -121.76378772032352),28,-3,11,yes,x,5,x,0.8642007000162266,1,3,test1,1,0.8644382999918889,-48.0
18,cyh,f,19,r,1,(121.76378772032349, 121.76378772032349),22,3,1,no,m,6,m,0.7914594000030775,1,4,test1,1,0.791556899988791,-48.0
18,cyh,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,5,2,no,m,6,m,0.9417990000220016,1,5,test1,1,0.9420346999831963,-48.0
18,cyh,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-7,13,yes,x,5,x,0.780432200001087,1,6,test1,1,0.7806056999834254,-52.0
18,cyh,f,19,r,1,(121.76378772032349, 121.76378772032349),22,-25,14,yes,x,5,x,0.5746493000187911,1,7,test1,1,0.574896699981764,-70.0
18,cyh,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,5,2,yes,x,5,x,0.9376852000132203,1,8,test1,1,0.9380558999837376,-40.0
18,cyh,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,3,1,yes,x,5,m,1.1815863000229,0,9,test1,1,1.1819934000086505,-42.0
18,cyh,f,19,r,1,(121.76378772032349, 121.76378772032349),22,3,1,yes,x,5,m,1.3533581999945454,0,10,test1,1,1.3535784000123385,-42.0
18,cyh,f,19,r,1,(1.0544208940658713e-14, 172.20000000000002),23,3,1,yes,x,5,m,0.8341333999997005,0,11,test1,1,0.8344559000106528,-42.0
18,cyh,f,19,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-25,14,no,m,6,m,0.8713996000005864,1,12,test1,1,0.8714953000016976,-42.0
18,cyh,f,19,r,1,(172.20000000000002, 0.0),21,-3,11,yes,x,5,x,1.2999996000144165,1,13,test1,1,1.3002243999799248,-48.0
18,cyh,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,7,3,no,m,6,m,1.0554582000186201,1,14,test1,1,1.0555575999896973,-48.0
18,cyh,f,19,r,1,(-121.76378772032348, 121.76378772032349),24,3,1,no,m,6,m,1.0621423000120558,1,15,test1,1,1.0623615000222344,-48.0
18,cyh,f,19,r,1,(121.76378772032349, 121.76378772032349),22,-5,12,yes,x,5,m,0.9565478999866173,0,16,test1,1,0.956822199979797,-50.0
18,cyh,f,19,r,1,(1.0544208940658713e-14, 172.20000000000002),23,25,4,no,m,6,m,0.8340086999814957,1,17,test1,1,0.8342547999927774,-50.0
18,cyh,f,19,r,1,(-121.76378772032348, 121.76378772032349),24,-7,13,yes,x,5,x,0.9033379000029527,1,18,test1,1,0.9034351999871433,-52.0
18,cyh,f,19,r,1,(121.76378772032346, -121.76378772032352),28,5,2,yes,x,5,m,0.8294498999894131,0,19,test1,1,0.8296161000034772,-40.0
18,cyh,f,19,r,1,(172.20000000000002, 0.0),21,-25,14,yes,x,5,x,0.6097391000075731,1,20,test1,1,0.6101243000011891,-70.0
18,cyh,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,25,4,yes,x,5,x,0.5194269999919925,1,21,test1,1,0.5197335000266321,-20.0
18,cyh,f,19,r,1,(121.76378772032346, -121.76378772032352),28,-7,13,yes,x,5,x,1.1264161000144668,1,22,test1,1,1.126528299995698,-52.0
18,cyh,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,7,3,yes,x,5,x,0.5444648000120651,1,23,test1,1,0.5445842999906745,-38.0
18,cyh,f,19,r,1,(121.76378772032346, -121.76378772032352),28,5,2,no,m,6,m,1.03209799999604,1,24,test1,1,1.0324488999904133,-38.0
18,cyh,f,19,r,1,(121.76378772032349, 121.76378772032349),22,-3,11,yes,x,5,m,1.1320960999873932,0,25,test1,1,1.1322125000006054,-48.0
18,cyh,f,19,r,1,(172.20000000000002, 0.0),21,-7,13,yes,x,5,x,0.5896919000078924,1,26,test1,1,0.5899139999819454,-52.0
18,cyh,f,19,r,1,(1.0544208940658713e-14, 172.20000000000002),23,3,1,no,m,6,m,0.9117607999942265,1,27,test1,1,0.9119543000124395,-52.0
18,cyh,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,-5,12,no,m,6,m,1.3324694999901112,1,28,test1,1,1.3329813000163995,-52.0
18,cyh,f,19,r,1,(121.76378772032349, 121.76378772032349),22,-7,13,yes,x,5,x,0.9278318999859039,1,29,test1,1,0.9282887999725062,-52.0
18,cyh,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,-25,14,yes,x,5,x,0.5869187000207603,1,30,test1,1,0.5870305999997072,-70.0
18,cyh,f,19,r,1,(-121.76378772032348, 121.76378772032349),24,5,2,no,m,6,m,0.7749717000115197,1,31,test1,1,0.7751959000015631,-70.0
18,cyh,f,19,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-7,13,yes,x,5,x,1.0825449999829289,1,32,test1,1,1.0830177000025287,-52.0
18,cyh,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,3,1,yes,x,5,x,1.3198001999990083,1,33,test1,1,1.320035300013842,-42.0
18,cyh,f,19,r,1,(121.76378772032349, 121.76378772032349),22,-7,13,yes,x,5,x,1.2055152999819256,1,34,test1,1,1.2056582000222988,-52.0
18,cyh,f,19,r,1,(121.76378772032349, 121.76378772032349),22,-3,11,no,m,6,m,1.2999380999826826,1,35,test1,1,1.3003887000086252,-52.0
18,cyh,f,19,r,1,(172.20000000000002, 0.0),21,7,3,yes,x,5,x,0.7925332000013441,1,36,test1,1,0.7927250000066124,-38.0
18,cyh,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,-7,13,no,m,6,m,0.9193484999996144,1,37,test1,1,0.9194503999897279,-38.0
18,cyh,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-3,11,yes,x,5,m,1.2117467999923974,0,38,test1,1,1.212404099991545,-48.0
18,cyh,f,19,r,1,(-121.76378772032348, 121.76378772032349),24,-25,14,no,m,6,m,1.4793226000037976,1,39,test1,1,1.4795309999899473,-48.0
18,cyh,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,-25,14,yes,x,5,x,0.5968938999867532,1,40,test1,1,0.5970235000131652,-70.0
18,cyh,f,19,r,1,(121.76378772032346, -121.76378772032352),28,3,1,yes,x,5,m,0.9239899000094738,0,41,test1,1,0.9242225000052713,-42.0
18,cyh,f,19,r,1,(1.0544208940658713e-14, 172.20000000000002),23,5,2,no,m,6,m,1.2858589999959804,1,42,test1,1,1.286047100002179,-42.0
18,cyh,f,19,r,1,(1.0544208940658713e-14, 172.20000000000002),23,5,2,yes,x,5,x,0.6457467000000179,1,43,test1,1,0.6458664999809116,-40.0
18,cyh,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,-5,12,no,m,6,m,1.7740099000220653,1,44,test1,1,1.7741431000176817,-40.0
18,cyh,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-3,11,yes,x,5,m,1.5361126999778207,0,45,test1,1,1.5364888999902178,-48.0
18,cyh,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,3,1,no,m,6,m,1.6976616000174545,1,46,test1,1,1.6977760999870952,-48.0
18,cyh,f,19,r,1,(172.20000000000002, 0.0),21,7,3,no,m,6,m,1.2947797999950126,1,47,test1,1,1.294877699983772,-48.0
18,cyh,f,19,r,1,(121.76378772032349, 121.76378772032349),22,7,3,yes,x,5,x,0.9975370000174735,1,48,test1,1,0.9976376999984495,-38.0
18,cyh,f,19,r,1,(172.20000000000002, 0.0),21,5,2,no,m,6,m,1.7133210000174586,1,49,test1,1,1.7136694000218995,-38.0
18,cyh,f,19,r,1,(172.20000000000002, 0.0),21,-7,13,no,m,6,None,None,0,50,test1,1,1.9800940999994054,-38.0
18,cyh,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,3,1,yes,x,5,m,0.8326668000081554,0,51,test1,1,0.8328978000208735,-42.0
18,cyh,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,-5,12,yes,x,5,x,1.142847700015409,1,52,test1,1,1.1429886000114493,-50.0
18,cyh,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,5,2,yes,x,5,m,1.3055930999980774,0,53,test1,1,1.3058054000139236,-40.0
18,cyh,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,7,3,yes,x,5,x,0.7981023999745958,1,54,test1,1,0.7985914000018965,-38.0
18,cyh,f,19,r,1,(121.76378772032349, 121.76378772032349),22,3,1,yes,x,5,m,1.5043664000113495,0,55,test1,1,1.5044670999923255,-42.0
18,cyh,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,5,2,yes,x,5,x,0.8220355000230484,1,56,test1,1,0.8223768000025302,-40.0
18,cyh,f,19,r,1,(-121.76378772032348, 121.76378772032349),24,5,2,yes,x,5,x,1.0045260000042617,1,57,test1,1,1.0046935999998823,-40.0
18,cyh,f,19,r,1,(1.0544208940658713e-14, 172.20000000000002),23,25,4,yes,x,5,x,0.5999777000106405,1,58,test1,1,0.6000885000103153,-20.0
18,cyh,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,-3,11,no,m,6,m,1.784063099999912,1,59,test1,1,1.784367900021607,-20.0
18,cyh,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-25,14,no,m,6,None,None,0,60,test1,1,1.9801202999951784,-20.0
18,cyh,f,19,r,1,(172.20000000000002, 0.0),21,3,1,no,m,6,m,1.0747097000130452,1,61,test1,1,1.07487250000122,-20.0
18,cyh,f,19,r,1,(172.20000000000002, 0.0),21,-25,14,no,m,6,m,1.6979900000151247,1,62,test1,1,1.6981163999880664,-20.0
18,cyh,f,19,r,1,(-121.76378772032348, 121.76378772032349),24,-5,12,no,m,6,m,1.3925187999848276,1,63,test1,1,1.392744800017681,-20.0
18,cyh,f,19,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-7,13,yes,x,5,x,0.7400158000236843,1,64,test1,1,0.7401165000046603,-52.0
18,cyh,f,19,r,1,(172.20000000000002, 0.0),21,3,1,yes,x,5,m,1.0510215999966022,0,65,test1,1,1.0511509999923874,-42.0
