subj_id,subj_name,subj_gender ,subj_age,subj_handedness,subj_runNum,tar_l_x,tar_l_y,loc_code,tar_ori,tar_code,tar_pre ,cor_response,pre_code,subj_response,RT,correct,trial_num,type,bloc_num,dur, real_tar
19,cey,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,-3,11,yes,x,5,None,None,0,1,prac,0,1.980108299991116,-48.0
19,cey,f,19,r,1,(172.20000000000002, 0.0),21,5,2,yes,x,5,m,0.7026520999788772,0,2,prac,0,0.7027781000069808,-40.0
19,cey,f,19,r,1,(121.76378772032346, -121.76378772032352),28,-5,12,yes,x,5,x,1.2987908000068273,1,3,prac,0,1.2988925000245217,-50.0
19,cey,f,19,r,1,(-121.76378772032348, 121.76378772032349),24,-25,14,yes,x,5,x,0.7607160000188742,1,4,prac,0,0.7608389999950305,-70.0
19,cey,f,19,r,1,(121.76378772032349, 121.76378772032349),22,-7,13,yes,x,5,x,0.6215924000134692,1,5,prac,0,0.6223287000029813,-52.0
19,cey,f,19,r,1,(121.76378772032346, -121.76378772032352),28,7,3,no,m,6,m,1.406938900006935,1,6,prac,0,1.4071802999824286,-52.0
19,cey,f,19,r,1,(121.76378772032349, 121.76378772032349),22,-25,14,no,m,6,m,1.3315542000054847,1,7,prac,0,1.3317778000200633,-52.0
19,cey,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-25,14,yes,x,5,x,0.7396022999892011,1,8,prac,0,0.739717299991753,-70.0
19,cey,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,3,1,yes,x,5,m,1.0842375000065658,0,9,prac,0,1.0844649999926332,-42.0
19,cey,f,19,r,1,(1.0544208940658713e-14, 172.20000000000002),23,5,2,no,m,6,m,1.2246823999739718,1,10,prac,0,1.2249806000036187,-42.0
19,cey,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,-5,12,yes,x,5,x,0.9780631000176072,1,11,prac,0,0.9782962999888696,-50.0
19,cey,f,19,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-25,14,yes,x,5,x,0.6951587999938056,1,12,prac,0,0.6954013000067789,-70.0
19,cey,f,19,r,1,(121.76378772032346, -121.76378772032352),28,-5,12,yes,x,5,x,1.0738357999944128,1,13,prac,0,1.0740662999742199,-50.0
19,cey,f,19,r,1,(172.20000000000002, 0.0),21,3,1,yes,x,5,m,1.44323499998427,0,14,prac,0,1.4433688999852166,-42.0
19,cey,f,19,r,1,(121.76378772032346, -121.76378772032352),28,25,4,no,m,6,None,None,0,15,prac,0,1.9800823999976274,-42.0
19,cey,f,19,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-25,14,yes,x,5,x,0.5273926999943797,1,16,prac,0,0.5276314000075217,-70.0
19,cey,f,19,r,1,(-121.76378772032348, 121.76378772032349),24,7,3,yes,x,5,x,0.8593783999967854,1,17,prac,0,0.8595978999801446,-38.0
19,cey,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,-7,13,yes,x,5,x,0.9353344999835826,1,18,prac,0,0.9357815000112168,-52.0
19,cey,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,7,3,no,m,6,m,1.5999262999976054,1,19,prac,0,1.6001503000152297,-52.0
19,cey,f,19,r,1,(172.20000000000002, 0.0),21,5,2,yes,x,5,x,1.070375499984948,1,20,prac,0,1.0709608000179287,-40.0
19,cey,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-5,12,yes,x,5,x,1.1407614999916404,1,1,test1,1,1.141091099998448,-50.0
19,cey,f,19,r,1,(-121.76378772032348, 121.76378772032349),24,7,3,yes,x,5,x,0.6158291999890935,1,2,test1,1,0.616060500004096,-38.0
19,cey,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-25,14,yes,x,5,x,0.5899052000022493,1,3,test1,1,0.5904699999955483,-70.0
19,cey,f,19,r,1,(121.76378772032346, -121.76378772032352),28,7,3,yes,x,5,x,0.7173635000071954,1,4,test1,1,0.7174861000094097,-38.0
19,cey,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,3,1,yes,x,5,m,0.983613599993987,0,5,test1,1,0.9839132000051904,-42.0
19,cey,f,19,r,1,(121.76378772032346, -121.76378772032352),28,-25,14,no,m,6,m,1.3389622000104282,1,6,test1,1,1.3391232000140008,-42.0
19,cey,f,19,r,1,(-121.76378772032348, 121.76378772032349),24,-25,14,yes,x,5,x,0.5234829999972135,1,7,test1,1,0.5236233999894466,-70.0
19,cey,f,19,r,1,(1.0544208940658713e-14, 172.20000000000002),23,3,1,yes,x,5,m,1.8729725999874063,0,8,test1,1,1.8730984999856446,-42.0
19,cey,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,7,3,no,m,6,m,1.695294599980116,1,9,test1,1,1.6955697999801487,-42.0
19,cey,f,19,r,1,(-121.76378772032348, 121.76378772032349),24,5,2,no,m,6,None,None,0,10,test1,1,1.9800796000054106,-42.0
19,cey,f,19,r,1,(172.20000000000002, 0.0),21,25,4,yes,x,5,x,0.47437000001082197,1,11,test1,1,0.4745800000091549,-20.0
19,cey,f,19,r,1,(121.76378772032349, 121.76378772032349),22,-25,14,yes,x,5,x,0.4861773999873549,1,12,test1,1,0.4865208999835886,-70.0
19,cey,f,19,r,1,(121.76378772032346, -121.76378772032352),28,-25,14,yes,x,5,x,0.5661106000188738,1,13,test1,1,0.5662536000018008,-70.0
19,cey,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,-3,11,yes,x,5,x,1.442005600023549,1,14,test1,1,1.4421701000246685,-48.0
19,cey,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,-7,13,no,m,6,m,1.0431411000026856,1,15,test1,1,1.0433808999950998,-48.0
19,cey,f,19,r,1,(121.76378772032349, 121.76378772032349),22,-5,12,no,m,6,m,1.2177705999929458,1,16,test1,1,1.2179070000129286,-48.0
19,cey,f,19,r,1,(172.20000000000002, 0.0),21,-3,11,no,m,6,m,1.602875699987635,1,17,test1,1,1.6031152000068687,-48.0
19,cey,f,19,r,1,(121.76378772032346, -121.76378772032352),28,25,4,yes,x,5,x,0.5872582000156399,1,18,test1,1,0.5874990000156686,-20.0
19,cey,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,7,3,yes,x,5,x,0.6112442000012379,1,19,test1,1,0.6113446000090335,-38.0
