subj_id,subj_name,subj_gender ,subj_age,subj_handedness,subj_runNum,tar_l_x,tar_l_y,loc_code,tar_ori,tar_code,tar_pre ,cor_response,pre_code,subj_response,RT,correct,trial_num,type,bloc_num,dur, real_tar
1,lmh,f,23,r,1,(121.76378772032346, -121.76378772032352),28,3,1,yes,x,5,x,1.458478800001103,1,1,prac,0,1.459386300000915,-42.0
1,lmh,f,23,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-5,12,yes,x,5,x,0.47070089999942866,1,2,prac,0,0.4708009000005404,-50.0
1,lmh,f,23,r,1,(-121.76378772032352, -121.76378772032348),26,-3,11,no,m,6,x,0.8594657000012376,0,3,prac,0,0.8599874999999884,-50.0
1,lmh,f,23,r,1,(-121.76378772032352, -121.76378772032348),26,-5,12,yes,x,5,x,0.5922391999993124,1,4,prac,0,0.5924469000001409,-50.0
1,lmh,f,23,r,1,(-3.163262682197613e-14, -172.20000000000002),27,5,2,no,m,6,m,1.1028933999987203,1,5,prac,0,1.1030157999994117,-50.0
1,lmh,f,23,r,1,(-121.76378772032348, 121.76378772032349),24,7,3,yes,x,5,x,0.5052307000005385,1,6,prac,0,0.5053606999990734,-38.0
1,lmh,f,23,r,1,(-3.163262682197613e-14, -172.20000000000002),27,3,1,no,m,6,m,1.3566637000003539,1,7,prac,0,1.356882100000803,-38.0
1,lmh,f,23,r,1,(-3.163262682197613e-14, -172.20000000000002),27,7,3,yes,x,5,x,0.43476190000001225,1,8,prac,0,0.4350322000009328,-38.0
1,lmh,f,23,r,1,(-121.76378772032352, -121.76378772032348),26,5,2,yes,x,5,x,0.48380490000090504,1,9,prac,0,0.4839876000005461,-40.0
1,lmh,f,23,r,1,(121.76378772032346, -121.76378772032352),28,-25,14,yes,x,5,x,0.47288230000049225,1,10,prac,0,0.4734303999994154,-70.0
1,lmh,f,23,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,5,2,yes,x,5,x,0.46750000000065484,1,11,prac,0,0.46787200000107987,-40.0
1,lmh,f,23,r,1,(121.76378772032346, -121.76378772032352),28,-3,11,yes,x,5,m,1.2477689999996073,0,12,prac,0,1.2479203000002599,-48.0
1,lmh,f,23,r,1,(121.76378772032349, 121.76378772032349),22,3,1,yes,x,5,x,0.9874156999994739,1,13,prac,0,0.9875482999996166,-42.0
1,lmh,f,23,r,1,(121.76378772032349, 121.76378772032349),22,3,1,no,m,6,m,1.4699089999994612,1,14,prac,0,1.4700333000000683,-42.0
1,lmh,f,23,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,3,1,no,m,6,m,1.011010799998985,1,15,prac,0,1.0111428999989585,-42.0
1,lmh,f,23,r,1,(121.76378772032346, -121.76378772032352),28,-7,13,no,m,6,m,0.803704199999629,1,16,prac,0,0.8038304000001517,-42.0
1,lmh,f,23,r,1,(-121.76378772032348, 121.76378772032349),24,3,1,no,m,6,m,1.3481948000007833,1,17,prac,0,1.3484358999994583,-42.0
1,lmh,f,23,r,1,(121.76378772032346, -121.76378772032352),28,7,3,yes,x,5,x,0.5500078000004578,1,18,prac,0,0.5502457999991748,-38.0
1,lmh,f,23,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,25,4,no,m,6,m,0.8159431999993103,1,19,prac,0,0.8160884999997506,-38.0
1,lmh,f,23,r,1,(-121.76378772032352, -121.76378772032348),26,-7,13,yes,x,5,x,0.41848729999946954,1,20,prac,0,0.4186958999998751,-52.0
1,lmh,f,23,r,1,(121.76378772032346, -121.76378772032352),28,-3,11,no,m,6,m,1.1498181000006298,1,1,test1,1,1.1499929999990854,-52.0
1,lmh,f,23,r,1,(172.20000000000002, 0.0),21,-3,11,yes,x,5,x,0.9127391000001808,1,2,test1,1,0.9132441000001563,-48.0
1,lmh,f,23,r,1,(-3.163262682197613e-14, -172.20000000000002),27,5,2,no,m,6,None,None,0,3,test1,1,1.9800820000000385,-48.0
1,lmh,f,23,r,1,(121.76378772032346, -121.76378772032352),28,-25,14,yes,x,5,x,0.4820818000007421,1,4,test1,1,0.4823162000011507,-70.0
1,lmh,f,23,r,1,(1.0544208940658713e-14, 172.20000000000002),23,25,4,yes,x,5,x,0.4693202999987989,1,5,test1,1,0.469634799999767,-20.0
1,lmh,f,23,r,1,(-121.76378772032348, 121.76378772032349),24,7,3,no,m,6,m,1.0309030000007624,1,6,test1,1,1.0315866000000824,-20.0
1,lmh,f,23,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-25,14,yes,x,5,x,0.44716630000039004,1,7,test1,1,0.44750829999975394,-70.0
1,lmh,f,23,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,5,2,no,m,6,m,0.8773703000006208,1,8,test1,1,0.8776502999990043,-70.0
1,lmh,f,23,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-7,13,yes,x,5,x,0.5386934999987716,1,9,test1,1,0.5387902999991638,-52.0
1,lmh,f,23,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-7,13,yes,x,5,x,0.42214870000134397,1,10,test1,1,0.4223646999998891,-52.0
1,lmh,f,23,r,1,(-121.76378772032352, -121.76378772032348),26,5,2,no,m,6,m,0.6859683000002406,1,11,test1,1,0.6860859999997047,-52.0
1,lmh,f,23,r,1,(-121.76378772032352, -121.76378772032348),26,-25,14,no,m,6,m,0.7676308999998582,1,12,test1,1,0.7679898000005778,-52.0
1,lmh,f,23,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-25,14,yes,x,5,x,0.4138610999998491,1,13,test1,1,0.41395750000083353,-70.0
1,lmh,f,23,r,1,(-3.163262682197613e-14, -172.20000000000002),27,25,4,no,m,6,m,1.1762329999983194,1,14,test1,1,1.1764597000001231,-70.0
1,lmh,f,23,r,1,(121.76378772032346, -121.76378772032352),28,-7,13,yes,x,5,x,0.4456735999992816,1,15,test1,1,0.4459193000002415,-52.0
1,lmh,f,23,r,1,(121.76378772032349, 121.76378772032349),22,7,3,yes,x,5,x,0.5795633999987331,1,16,test1,1,0.5803361999987828,-38.0
1,lmh,f,23,r,1,(121.76378772032346, -121.76378772032352),28,25,4,yes,x,5,x,0.4570530000000872,1,17,test1,1,0.45729519999986223,-20.0
1,lmh,f,23,r,1,(121.76378772032346, -121.76378772032352),28,7,3,yes,x,5,x,0.4197148000002926,1,18,test1,1,0.4198765999990428,-38.0
1,lmh,f,23,r,1,(-121.76378772032348, 121.76378772032349),24,25,4,yes,x,5,x,0.42835820000073,1,19,test1,1,0.4284599000002345,-20.0
1,lmh,f,23,r,1,(121.76378772032349, 121.76378772032349),22,7,3,yes,x,5,x,0.5699134999995294,1,20,test1,1,0.5702376999997796,-38.0
1,lmh,f,23,r,1,(-121.76378772032348, 121.76378772032349),24,-3,11,no,m,6,m,0.746477299999242,1,21,test1,1,0.746605999998792,-38.0
1,lmh,f,23,r,1,(-121.76378772032352, -121.76378772032348),26,-7,13,yes,x,5,x,0.5255725999995775,1,22,test1,1,0.5256978999987041,-52.0
1,lmh,f,23,r,1,(121.76378772032349, 121.76378772032349),22,3,1,yes,x,5,x,0.9806611000003613,1,23,test1,1,0.9807581000004575,-42.0
1,lmh,f,23,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-7,13,no,m,6,m,1.0987189000006765,1,24,test1,1,1.0989564000010432,-42.0
1,lmh,f,23,r,1,(-121.76378772032352, -121.76378772032348),26,5,2,yes,x,5,x,0.5485918000013044,1,25,test1,1,0.548692000000301,-40.0
1,lmh,f,23,r,1,(121.76378772032346, -121.76378772032352),28,5,2,yes,x,5,x,0.4873057000004337,1,26,test1,1,0.48752369999965595,-40.0
1,lmh,f,23,r,1,(-121.76378772032348, 121.76378772032349),24,3,1,no,m,6,m,0.8256022999994457,1,27,test1,1,0.8256990999998379,-40.0
1,lmh,f,23,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-5,12,yes,x,5,x,0.6815906000010727,1,28,test1,1,0.6817952000001242,-50.0
1,lmh,f,23,r,1,(-121.76378772032352, -121.76378772032348),26,3,1,no,m,6,m,0.7865299999994022,1,29,test1,1,0.7866487000010238,-50.0
1,lmh,f,23,r,1,(-3.163262682197613e-14, -172.20000000000002),27,-7,13,yes,x,5,x,0.4471605999988242,1,30,test1,1,0.447285300000658,-52.0
1,lmh,f,23,r,1,(-121.76378772032348, 121.76378772032349),24,-5,12,yes,x,5,x,0.5720201999993151,1,31,test1,1,0.5721513999997114,-50.0
1,lmh,f,23,r,1,(121.76378772032349, 121.76378772032349),22,-3,11,yes,x,5,x,1.0731433000000834,1,32,test1,1,1.0734784999986005,-48.0
1,lmh,f,23,r,1,(121.76378772032349, 121.76378772032349),22,-5,12,yes,x,5,x,0.7396618000002491,1,33,test1,1,0.7398880000000645,-50.0
1,lmh,f,23,r,1,(121.76378772032349, 121.76378772032349),22,5,2,yes,x,5,x,0.4305507999997644,1,34,test1,1,0.4306806999993569,-40.0
1,lmh,f,23,r,1,(172.20000000000002, 0.0),21,25,4,no,m,6,m,1.0042826000008063,1,35,test1,1,1.0045970999999554,-40.0
1,lmh,f,23,r,1,(-3.163262682197613e-14, -172.20000000000002),27,3,1,yes,x,5,x,1.4415296000006492,1,36,test1,1,1.4416332000000693,-42.0
1,lmh,f,23,r,1,(-121.76378772032352, -121.76378772032348),26,-7,13,no,m,6,m,0.9899568000000727,1,37,test1,1,0.9900944000000891,-42.0
1,lmh,f,23,r,1,(121.76378772032349, 121.76378772032349),22,-3,11,yes,x,5,x,0.6971446000006836,1,38,test1,1,0.6977523000005021,-48.0
1,lmh,f,23,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-3,11,no,m,6,x,1.6900062000004255,0,39,test1,1,1.6905022000009922,-48.0
1,lmh,f,23,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-25,14,yes,x,5,x,0.5195500000008906,1,40,test1,1,0.5198484000011376,-70.0
1,lmh,f,23,r,1,(121.76378772032346, -121.76378772032352),28,-5,12,no,m,6,m,1.4988386000004539,1,41,test1,1,1.4989418000004662,-70.0
1,lmh,f,23,r,1,(-121.76378772032352, -121.76378772032348),26,25,4,no,m,6,m,1.2375650000012683,1,42,test1,1,1.23766649999925,-70.0
1,lmh,f,23,r,1,(1.0544208940658713e-14, 172.20000000000002),23,3,1,yes,x,5,x,0.903277600000365,1,43,test1,1,0.9034133999994083,-42.0
1,lmh,f,23,r,1,(-121.76378772032352, -121.76378772032348),26,7,3,yes,x,5,x,0.5015605999997206,1,44,test1,1,0.5021888999999646,-38.0
1,lmh,f,23,r,1,(-121.76378772032348, 121.76378772032349),24,25,4,no,m,6,m,1.4705936999998812,1,45,test1,1,1.470805200000541,-38.0
1,lmh,f,23,r,1,(121.76378772032346, -121.76378772032352),28,-5,12,yes,x,5,x,0.5679199999995035,1,46,test1,1,0.5681258999993588,-50.0
1,lmh,f,23,r,1,(121.76378772032346, -121.76378772032352),28,-7,13,no,m,6,m,0.7846621999997296,1,47,test1,1,0.7851788000007218,-50.0
1,lmh,f,23,r,1,(121.76378772032349, 121.76378772032349),22,25,4,yes,x,5,x,0.4994888000001083,1,48,test1,1,0.4996026000007987,-20.0
1,lmh,f,23,r,1,(-3.163262682197613e-14, -172.20000000000002),27,-7,13,yes,x,5,x,0.6682547999989765,1,49,test1,1,0.6686779000010574,-52.0
1,lmh,f,23,r,1,(121.76378772032346, -121.76378772032352),28,-5,12,yes,x,5,x,0.6600789000003715,1,50,test1,1,0.6604336999989755,-50.0
1,lmh,f,23,r,1,(-121.76378772032348, 121.76378772032349),24,3,1,yes,x,5,x,0.42488609999963955,1,51,test1,1,0.424984699999186,-42.0
1,lmh,f,23,r,1,(-3.163262682197613e-14, -172.20000000000002),27,-25,14,yes,x,5,x,0.44560420000016165,1,52,test1,1,0.4457356000002619,-70.0
1,lmh,f,23,r,1,(121.76378772032349, 121.76378772032349),22,3,1,no,m,6,m,0.8850923999998486,1,53,test1,1,0.8852509999996983,-70.0
1,lmh,f,23,r,1,(121.76378772032346, -121.76378772032352),28,3,1,yes,x,5,x,0.6056570999990072,1,54,test1,1,0.6057842000009259,-42.0
1,lmh,f,23,r,1,(121.76378772032346, -121.76378772032352),28,7,3,yes,x,5,x,0.43886829999974,1,55,test1,1,0.43896739999945567,-38.0
1,lmh,f,23,r,1,(121.76378772032346, -121.76378772032352),28,25,4,yes,x,5,x,0.4369191999994655,1,56,test1,1,0.43711720000101195,-20.0
1,lmh,f,23,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-5,12,no,m,6,m,0.7830155999999988,1,57,test1,1,0.7831360999989556,-20.0
1,lmh,f,23,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-5,12,yes,x,5,x,0.4349072000004526,1,58,test1,1,0.43503790000067966,-50.0
1,lmh,f,23,r,1,(1.0544208940658713e-14, 172.20000000000002),23,5,2,no,m,6,m,0.8973582999988139,1,59,test1,1,0.897466300000815,-50.0
1,lmh,f,23,r,1,(121.76378772032349, 121.76378772032349),22,3,1,yes,x,5,x,0.6740869999994175,1,60,test1,1,0.6741894999995566,-42.0
1,lmh,f,23,r,1,(121.76378772032349, 121.76378772032349),22,-5,12,yes,x,5,x,0.7121444000003976,1,61,test1,1,0.712541599999895,-50.0
1,lmh,f,23,r,1,(-121.76378772032352, -121.76378772032348),26,3,1,yes,x,5,m,0.8167204999990645,0,62,test1,1,0.8170155999996496,-42.0
1,lmh,f,23,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,3,1,yes,x,5,x,0.3842208000005485,1,63,test1,1,0.38440129999980854,-42.0
1,lmh,f,23,r,1,(121.76378772032349, 121.76378772032349),22,25,4,yes,x,5,x,0.332834399998319,1,64,test1,1,0.3334966999991593,-20.0
1,lmh,f,23,r,1,(-121.76378772032352, -121.76378772032348),26,-25,14,yes,x,5,x,0.39518479999969713,1,65,test1,1,0.39532190000136325,-70.0
1,lmh,f,23,r,1,(121.76378772032349, 121.76378772032349),22,-25,14,yes,x,5,x,0.38256059999912395,1,66,test1,1,0.3829408000001422,-70.0
1,lmh,f,23,r,1,(-121.76378772032348, 121.76378772032349),24,-3,11,yes,x,5,x,0.7240557000004628,1,67,test1,1,0.7243668000010075,-48.0
1,lmh,f,23,r,1,(-121.76378772032348, 121.76378772032349),24,-7,13,no,m,6,x,0.8640404999987368,0,68,test1,1,0.8641702999993868,-48.0
1,lmh,f,23,r,1,(-121.76378772032348, 121.76378772032349),24,-3,11,yes,x,5,x,0.4632796000005328,1,69,test1,1,0.4635262000010698,-48.0
1,lmh,f,23,r,1,(-3.163262682197613e-14, -172.20000000000002),27,25,4,yes,x,5,x,0.37360160000025644,1,70,test1,1,0.3737070999995922,-20.0
1,lmh,f,23,r,1,(-3.163262682197613e-14, -172.20000000000002),27,-5,12,no,m,6,m,0.75434690000111,1,71,test1,1,0.7548465999989276,-20.0
1,lmh,f,23,r,1,(172.20000000000002, 0.0),21,-5,12,yes,x,5,x,0.49573679999957676,1,72,test1,1,0.4960162000006676,-50.0
1,lmh,f,23,r,1,(-3.163262682197613e-14, -172.20000000000002),27,7,3,yes,x,5,x,0.37586499999997613,1,73,test1,1,0.3760032999998657,-38.0
1,lmh,f,23,r,1,(-121.76378772032352, -121.76378772032348),26,25,4,yes,x,5,x,0.35541360000024724,1,74,test1,1,0.3555436999995436,-20.0
1,lmh,f,23,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-7,13,yes,x,5,x,0.4257801000003383,1,75,test1,1,0.426018699999986,-52.0
1,lmh,f,23,r,1,(172.20000000000002, 0.0),21,7,3,yes,x,5,x,0.4474874000006821,1,76,test1,1,0.44758659999934025,-38.0
1,lmh,f,23,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-3,11,yes,x,5,x,0.3513853000004019,1,77,test1,1,0.3514844000001176,-48.0
1,lmh,f,23,r,1,(172.20000000000002, 0.0),21,-3,11,no,m,6,x,0.6653956000009202,0,78,test1,1,0.6657708999991883,-48.0
1,lmh,f,23,r,1,(-121.76378772032352, -121.76378772032348),26,-3,11,no,m,6,m,1.2317932000005385,1,79,test1,1,1.2318954000002122,-48.0
1,lmh,f,23,r,1,(-3.163262682197613e-14, -172.20000000000002),27,-3,11,yes,x,5,x,0.698765099999946,1,80,test1,1,0.6989851999987877,-48.0
1,lmh,f,23,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,25,4,yes,x,5,x,0.3706748999993579,1,81,test1,1,0.3708446000000549,-20.0
1,lmh,f,23,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-7,13,no,m,6,m,1.117866900000081,1,82,test1,1,1.1182813000013994,-20.0
