subj_id,subj_name,subj_gender ,subj_age,subj_handedness,subj_runNum,tar_l_x,tar_l_y,loc_code,tar_ori,tar_code,tar_pre ,cor_response,pre_code,subj_response,RT,correct,trial_num,type,bloc_num,dur, real_tar
2,lsh,f,20,r,2,(-121.76378772032348, 121.76378772032349),24,25,4,yes,x,5,x,0.5109768999973312,1,1,test1,1,0.5111140000008163,-20.0
2,lsh,f,20,r,2,(121.76378772032349, 121.76378772032349),22,3,1,yes,x,5,x,0.7612220000009984,1,2,test1,1,0.7613749000011012,-42.0
2,lsh,f,20,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,-7,13,yes,x,5,x,0.4621971000015037,1,3,test1,1,0.4627171999964048,-52.0
2,lsh,f,20,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,-25,14,yes,x,5,x,0.3209050000004936,1,4,test1,1,0.3210059999983059,-70.0
2,lsh,f,20,r,2,(172.20000000000002, 0.0),21,3,1,no,m,6,m,0.5752785000004224,1,5,test1,1,0.5754076000011992,-70.0
2,lsh,f,20,r,2,(-121.76378772032348, 121.76378772032349),24,-25,14,yes,x,5,x,0.31448599999566795,1,6,test1,1,0.3146456999966176,-70.0
2,lsh,f,20,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,-7,13,no,m,6,m,0.7262374000056298,1,7,test1,1,0.7263352000009036,-70.0
2,lsh,f,20,r,2,(172.20000000000002, 0.0),21,3,1,yes,x,5,m,0.5004235000014887,0,8,test1,1,0.5005687999946531,-42.0
2,lsh,f,20,r,2,(-121.76378772032348, 121.76378772032349),24,-3,11,yes,x,5,x,0.5819715999969048,1,9,test1,1,0.5820999999996275,-48.0
2,lsh,f,20,r,2,(1.0544208940658713e-14, 172.20000000000002),23,5,2,yes,x,5,x,0.5733108999993419,1,10,test1,1,0.5734091000049375,-40.0
2,lsh,f,20,r,2,(-121.76378772032348, 121.76378772032349),24,5,2,yes,x,5,x,0.42818439999973634,1,11,test1,1,0.4284066999971401,-40.0
2,lsh,f,20,r,2,(-121.76378772032348, 121.76378772032349),24,-5,12,no,m,6,m,0.6836215000002994,1,12,test1,1,0.6838711999953375,-40.0
2,lsh,f,20,r,2,(172.20000000000002, 0.0),21,7,3,yes,x,5,x,0.4150340000051074,1,13,test1,1,0.4152646000002278,-38.0
2,lsh,f,20,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,3,1,yes,x,5,x,0.5372274000037578,1,14,test1,1,0.5373254000005545,-42.0
2,lsh,f,20,r,2,(-3.163262682197613e-14, -172.20000000000002),27,-3,11,no,m,6,m,0.6938442000027862,1,15,test1,1,0.6940745999963838,-42.0
2,lsh,f,20,r,2,(172.20000000000002, 0.0),21,-3,11,yes,x,5,x,0.5818968999956269,1,16,test1,1,0.5821058000001358,-48.0
2,lsh,f,20,r,2,(121.76378772032346, -121.76378772032352),28,3,1,yes,x,5,x,0.8384399999995367,1,17,test1,1,0.8385522000025958,-42.0
2,lsh,f,20,r,2,(121.76378772032346, -121.76378772032352),28,7,3,no,m,6,x,0.4354500999979791,0,18,test1,1,0.43557480000163196,-42.0
