subj_id,subj_name,subj_gender ,subj_age,subj_handedness,subj_runNum,tar_l_x,tar_l_y,loc_code,tar_ori,tar_code,tar_pre ,cor_response,pre_code,subj_response,RT,correct,trial_num,type,bloc_num,dur, real_tar
6,lxy,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,5,2,yes,x,5,m,0.9349307000002227,0,1,prac,0,0.9351685999999972,-40.0
6,lxy,f,19,r,1,(121.76378772032349, 121.76378772032349),22,25,4,yes,x,5,x,0.5089282000008097,1,2,prac,0,0.5093642000001637,-20.0
6,lxy,f,19,r,1,(172.20000000000002, 0.0),21,25,4,yes,x,5,x,0.4758291000007375,1,3,prac,0,0.47593219999998837,-20.0
6,lxy,f,19,r,1,(121.76378772032346, -121.76378772032352),28,-7,13,yes,x,5,m,0.5289841000003435,0,4,prac,0,0.5292774999998073,-52.0
6,lxy,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,3,1,no,m,6,x,0.4073092999997243,0,5,prac,0,0.4074673000004623,-52.0
6,lxy,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,-7,13,no,m,6,x,0.9223946000001888,0,6,prac,0,0.9226289000007455,-52.0
6,lxy,f,19,r,1,(121.76378772032346, -121.76378772032352),28,5,2,yes,x,5,m,0.7727990000003047,0,7,prac,0,0.7732593999999153,-40.0
6,lxy,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,7,3,yes,x,5,x,0.8850128000003679,1,8,prac,0,0.8851801000000705,-38.0
6,lxy,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,25,4,yes,x,5,x,0.7048580000000584,1,9,prac,0,0.7050949000004039,-20.0
6,lxy,f,19,r,1,(121.76378772032346, -121.76378772032352),28,25,4,yes,x,5,x,0.7110189999993963,1,10,prac,0,0.7121502999998484,-20.0
6,lxy,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,-25,14,yes,x,5,x,0.6125727999997252,1,11,prac,0,0.6126659000001382,-70.0
6,lxy,f,19,r,1,(121.76378772032346, -121.76378772032352),28,25,4,yes,x,5,x,0.5433751000000484,1,12,prac,0,0.5437416000004305,-20.0
6,lxy,f,19,r,1,(1.0544208940658713e-14, 172.20000000000002),23,5,2,yes,x,5,x,0.9973666999994748,1,13,prac,0,0.9977539999999863,-40.0
6,lxy,f,19,r,1,(121.76378772032346, -121.76378772032352),28,-25,14,yes,x,5,x,0.6341671000000133,1,14,prac,0,0.6343807000002926,-70.0
6,lxy,f,19,r,1,(121.76378772032349, 121.76378772032349),22,-3,11,yes,x,5,m,1.027307700000165,0,15,prac,0,1.0279140000002371,-48.0
6,lxy,f,19,r,1,(172.20000000000002, 0.0),21,5,2,yes,x,5,x,1.611334899999747,1,16,prac,0,1.6115083999993658,-40.0
6,lxy,f,19,r,1,(121.76378772032346, -121.76378772032352),28,7,3,no,m,6,m,1.059195699999691,1,17,prac,0,1.0593886999995448,-40.0
6,lxy,f,19,r,1,(121.76378772032349, 121.76378772032349),22,-3,11,no,m,6,m,1.1702739000002111,1,18,prac,0,1.1703753000001598,-40.0
6,lxy,f,19,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-3,11,no,m,6,m,1.4034953000000314,1,19,prac,0,1.4038502999992488,-40.0
6,lxy,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-3,11,no,m,6,m,1.1244384000001446,1,20,prac,0,1.12477619999936,-40.0
6,lxy,f,19,r,1,(121.76378772032349, 121.76378772032349),22,-3,11,yes,x,5,m,1.1034921999998915,0,1,test1,1,1.1038799999996627,-48.0
6,lxy,f,19,r,1,(-121.76378772032348, 121.76378772032349),24,5,2,yes,x,5,m,1.4828687999997783,0,2,test1,1,1.4829702999995789,-40.0
6,lxy,f,19,r,1,(-121.76378772032348, 121.76378772032349),24,-3,11,no,m,6,None,None,0,3,test1,1,1.9800901999997222,-40.0
6,lxy,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,5,2,no,m,6,m,1.2612761999998838,1,4,test1,1,1.2613719000000856,-40.0
6,lxy,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,7,3,yes,x,5,x,0.7758999999996377,1,5,test1,1,0.7760157000002437,-38.0
6,lxy,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,25,4,no,m,6,m,1.535641399999804,1,6,test1,1,1.5357685000008132,-38.0
6,lxy,f,19,r,1,(121.76378772032346, -121.76378772032352),28,-5,12,no,m,6,m,1.406300600000577,1,7,test1,1,1.4066603999999643,-38.0
6,lxy,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,-7,13,no,m,6,m,0.8862528999998176,1,8,test1,1,0.8863891000000876,-38.0
6,lxy,f,19,r,1,(-121.76378772032348, 121.76378772032349),24,25,4,yes,x,5,x,0.6691088999996282,1,9,test1,1,0.6692653999998583,-20.0
6,lxy,f,19,r,1,(121.76378772032349, 121.76378772032349),22,-25,14,no,m,6,m,0.9140591999994285,1,10,test1,1,0.9143278000001374,-20.0
6,lxy,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,25,4,yes,x,5,x,0.6519201000000976,1,11,test1,1,0.6520778999993126,-20.0
6,lxy,f,19,r,1,(121.76378772032346, -121.76378772032352),28,25,4,no,m,6,m,0.854511999999886,1,12,test1,1,0.8546286000000691,-20.0
6,lxy,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,3,1,no,m,6,m,0.8027117000001454,1,13,test1,1,0.8029482000001735,-20.0
6,lxy,f,19,r,1,(121.76378772032346, -121.76378772032352),28,3,1,no,m,6,m,0.954182800000126,1,14,test1,1,0.9543260999998893,-20.0
6,lxy,f,19,r,1,(172.20000000000002, 0.0),21,-5,12,yes,x,5,m,1.0075434999998834,0,15,test1,1,1.0076626000000033,-50.0
6,lxy,f,19,r,1,(172.20000000000002, 0.0),21,3,1,yes,x,5,m,0.8738202000004094,0,16,test1,1,0.8741104000000632,-42.0
6,lxy,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,3,1,yes,x,5,m,1.312311800000316,0,17,test1,1,1.3124149999994188,-42.0
6,lxy,f,19,r,1,(121.76378772032346, -121.76378772032352),28,-7,13,yes,x,5,x,1.0949744999998074,1,18,test1,1,1.095550000000003,-52.0
6,lxy,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,-5,12,no,m,6,m,1.0914805000002161,1,19,test1,1,1.092128899999807,-52.0
6,lxy,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,7,3,yes,x,5,x,0.7891821000002892,1,20,test1,1,0.7894217999992179,-38.0
6,lxy,f,19,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-3,11,yes,x,5,m,1.1050351000003502,0,21,test1,1,1.1054942999999184,-48.0
6,lxy,f,19,r,1,(121.76378772032349, 121.76378772032349),22,3,1,yes,x,5,m,1.1773489999995945,0,22,test1,1,1.1775707999995575,-42.0
6,lxy,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,-7,13,yes,x,5,x,0.8257333999999901,1,23,test1,1,0.8260729999992691,-52.0
6,lxy,f,19,r,1,(-121.76378772032348, 121.76378772032349),24,-3,11,yes,x,5,m,1.5107980000002499,0,24,test1,1,1.510935100000097,-48.0
