subj_id,subj_name,subj_gender ,subj_age,subj_handedness,subj_runNum,tar_l_x,tar_l_y,loc_code,tar_ori,tar_code,tar_pre ,cor_response,pre_code,subj_response,RT,correct,trial_num,type,bloc_num,dur, real_tar
8,hdl,m,23,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-3,11,yes,x,5,m,1.6426305999993929,0,1,prac,0,1.6428673999980674,-48.0
8,hdl,m,23,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-7,13,yes,x,5,x,1.2403338000003714,1,2,prac,0,1.2404500000047847,-52.0
8,hdl,m,23,r,1,(-121.76378772032348, 121.76378772032349),24,-5,12,yes,x,5,x,1.2345389000038267,1,3,prac,0,1.2346580000012182,-50.0
8,hdl,m,23,r,1,(172.20000000000002, 0.0),21,-25,14,yes,x,5,x,0.8450655999986338,1,4,prac,0,0.8456398999987869,-70.0
8,hdl,m,23,r,1,(121.76378772032346, -121.76378772032352),28,-5,12,yes,x,5,x,1.0210344000006444,1,5,prac,0,1.0216141000055359,-50.0
8,hdl,m,23,r,1,(-3.163262682197613e-14, -172.20000000000002),27,-25,14,yes,x,5,x,0.6574612999975216,1,6,prac,0,0.6576185999947484,-70.0
8,hdl,m,23,r,1,(172.20000000000002, 0.0),21,3,1,yes,x,5,m,0.8849680999992415,0,7,prac,0,0.8850669999956153,-42.0
8,hdl,m,23,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-25,14,yes,x,5,x,0.6643605999997817,1,8,prac,0,0.6645796999946469,-70.0
8,hdl,m,23,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,3,1,yes,x,5,m,1.610037899998133,0,9,prac,0,1.6101759999946808,-42.0
8,hdl,m,23,r,1,(1.0544208940658713e-14, 172.20000000000002),23,25,4,yes,x,5,x,0.5214047999979812,1,10,prac,0,0.5217097999993712,-20.0
8,hdl,m,23,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-3,11,yes,x,5,x,1.1863647999998648,1,11,prac,0,1.1866620000000694,-48.0
8,hdl,m,23,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-3,11,yes,x,5,x,0.8431041999938316,1,12,prac,0,0.8432934000011301,-48.0
8,hdl,m,23,r,1,(-121.76378772032352, -121.76378772032348),26,-7,13,yes,x,5,x,1.086762799997814,1,13,prac,0,1.0869759000052,-52.0
8,hdl,m,23,r,1,(121.76378772032346, -121.76378772032352),28,5,2,yes,x,5,x,1.4874787000007927,1,14,prac,0,1.4877158000017516,-40.0
8,hdl,m,23,r,1,(-121.76378772032352, -121.76378772032348),26,5,2,yes,x,5,x,1.5916241000013542,1,15,prac,0,1.5918901999975787,-40.0
8,hdl,m,23,r,1,(-121.76378772032348, 121.76378772032349),24,-3,11,yes,x,5,x,0.8217125000010128,1,16,prac,0,0.8219545999963884,-48.0
8,hdl,m,23,r,1,(1.0544208940658713e-14, 172.20000000000002),23,5,2,yes,x,5,x,0.6626415999999153,1,17,prac,0,0.6628821000049356,-40.0
8,hdl,m,23,r,1,(-3.163262682197613e-14, -172.20000000000002),27,-7,13,no,m,6,None,None,0,18,prac,0,1.9800966999973753,-40.0
8,hdl,m,23,r,1,(121.76378772032346, -121.76378772032352),28,-7,13,yes,x,5,x,1.0302780000056373,1,19,prac,0,1.0306606000012835,-52.0
8,hdl,m,23,r,1,(-121.76378772032348, 121.76378772032349),24,-7,13,no,m,6,x,1.2971770000003744,0,20,prac,0,1.297351900000649,-52.0
8,hdl,m,23,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-3,11,yes,x,5,x,0.8176303000000189,1,1,test1,1,0.8180326000001514,-48.0
8,hdl,m,23,r,1,(172.20000000000002, 0.0),21,5,2,yes,x,5,x,1.1934981000013067,1,2,test1,1,1.1935994000014034,-40.0
