subj_id,subj_name,subj_gender ,subj_age,subj_handedness,subj_runNum,tar_l_x,tar_l_y,loc_code,tar_ori,tar_code,tar_pre ,cor_response,pre_code,subj_response,RT,correct,trial_num,type,bloc_num,dur, real_tar
9,pjy,f,19,r,1,(121.76378772032349, 121.76378772032349),22,-3,11,yes,x,5,m,1.0827718000218738,0,1,prac,0,1.0829360999923665,-48.0
9,pjy,f,19,r,1,(121.76378772032349, 121.76378772032349),22,-7,13,yes,x,5,m,0.8195762999821454,0,2,prac,0,0.8196935000014491,-52.0
9,pjy,f,19,r,1,(121.76378772032349, 121.76378772032349),22,-3,11,yes,x,5,m,0.7112811999977566,0,3,prac,0,0.7114085999783128,-48.0
9,pjy,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,-7,13,no,m,6,m,1.384154999977909,1,4,prac,0,1.3842548999818973,-48.0
9,pjy,f,19,r,1,(172.20000000000002, 0.0),21,-5,12,no,m,6,m,0.9320051000104286,1,5,prac,0,0.9321382000052836,-48.0
9,pjy,f,19,r,1,(-121.76378772032348, 121.76378772032349),24,7,3,yes,x,5,x,0.5625163000077009,1,6,prac,0,0.562613300018711,-38.0
9,pjy,f,19,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-7,13,yes,x,5,x,0.4965269999811426,1,7,prac,0,0.49685820000013337,-52.0
9,pjy,f,19,r,1,(172.20000000000002, 0.0),21,-25,14,yes,x,5,x,0.6216751000029035,1,8,prac,0,0.6218369999842253,-70.0
9,pjy,f,19,r,1,(121.76378772032346, -121.76378772032352),28,25,4,yes,x,5,x,0.5426365000021178,1,9,prac,0,0.5430852999852505,-20.0
9,pjy,f,19,r,1,(172.20000000000002, 0.0),21,25,4,no,m,6,x,0.9198262999998406,0,10,prac,0,0.9200404999719467,-20.0
9,pjy,f,19,r,1,(-121.76378772032348, 121.76378772032349),24,7,3,no,m,6,x,0.7731035999895539,0,11,prac,0,0.7732808000000659,-20.0
9,pjy,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,-3,11,no,m,6,m,0.658765999978641,1,12,prac,0,0.6589719000039622,-20.0
9,pjy,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,-3,11,no,m,6,m,0.665709400025662,1,13,prac,0,0.6659961999976076,-20.0
9,pjy,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,-3,11,yes,x,5,m,0.6284904999774881,0,14,prac,0,0.6287146999966353,-48.0
9,pjy,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-25,14,no,m,6,m,0.9146685999876354,1,15,prac,0,0.9150265000062063,-48.0
9,pjy,f,19,r,1,(121.76378772032346, -121.76378772032352),28,3,1,yes,x,5,m,0.7737539999943692,0,16,prac,0,0.7739398000121582,-42.0
9,pjy,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,-5,12,no,m,6,m,0.7338507999957073,1,17,prac,0,0.7339830999844708,-42.0
9,pjy,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,5,2,yes,x,5,m,0.8141262000135612,0,18,prac,0,0.8142989000189118,-40.0
9,pjy,f,19,r,1,(-121.76378772032348, 121.76378772032349),24,25,4,no,m,6,m,0.7949872000026517,1,19,prac,0,0.7954761000000872,-40.0
9,pjy,f,19,r,1,(172.20000000000002, 0.0),21,-7,13,yes,x,5,x,0.5820573000237346,1,20,prac,0,0.5823910000035539,-52.0
9,pjy,f,19,r,1,(1.0544208940658713e-14, 172.20000000000002),23,5,2,yes,x,5,x,0.7497224999824539,1,1,test1,1,0.7499544000020251,-40.0
9,pjy,f,19,r,1,(-121.76378772032348, 121.76378772032349),24,7,3,yes,x,5,x,0.5019624000124168,1,2,test1,1,0.5020615999819711,-38.0
9,pjy,f,19,r,1,(-121.76378772032352, -121.76378772032348),26,-5,12,yes,x,5,m,0.796021300018765,0,3,test1,1,0.7962429000181146,-50.0
9,pjy,f,19,r,1,(121.76378772032349, 121.76378772032349),22,3,1,yes,x,5,m,0.8567794999980833,0,4,test1,1,0.8570533999882173,-42.0
9,pjy,f,19,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,7,3,yes,x,5,x,0.5073069000209216,1,5,test1,1,0.5075156000093557,-38.0
9,pjy,f,19,r,1,(1.0544208940658713e-14, 172.20000000000002),23,-25,14,yes,x,5,x,0.5753339999937452,1,6,test1,1,0.5756424000137486,-70.0
9,pjy,f,19,r,1,(172.20000000000002, 0.0),21,3,1,no,m,6,m,0.9094780000159517,1,7,test1,1,0.9096201000211295,-70.0
9,pjy,f,19,r,1,(121.76378772032346, -121.76378772032352),28,-3,11,yes,x,5,m,0.8861097999906633,0,8,test1,1,0.8865028999862261,-48.0
9,pjy,f,19,r,1,(121.76378772032346, -121.76378772032352),28,-5,12,yes,x,5,x,1.15637300000526,1,9,test1,1,1.1565222999779508,-50.0
9,pjy,f,19,r,1,(-3.163262682197613e-14, -172.20000000000002),27,25,4,yes,x,5,x,0.6671940000087488,1,10,test1,1,0.6675198000157252,-20.0
